sample_idx,orient_idx,setpoint,wall_r,roof_r,fr1_kh,fr2_kwh,fr1_SPACE1-1_kh,fr1_SPACE2-1_kh,fr1_SPACE3-1_kh,fr1_SPACE4-1_kh,fr1_SPACE5-1_kh
18,0,24.46133090555668,0.5384923722594976,2.8386745918542147,3308.5685773644855,67627.83,392.3555844616511,1236.5920805525184,382.4442434558821,1294.7109738252184,2.4656950692149806
19,0,24.46133090555668,0.5384923722594976,2.8386745918542147,3308.5685773644855,67627.83,392.3555844616511,1236.5920805525184,382.4442434558821,1294.7109738252184,2.4656950692149806
20,0,25.175087151117623,0.5384923722594976,2.8386745918542147,2372.536773966933,67202.83,205.44806035501142,941.0798609359505,194.53513847990075,1031.4737141960707,0.0
21,0,24.46133090555668,1.0562297403812408,2.8386745918542147,2735.8829290129884,64919.5,284.7971864488954,1043.8577673094292,298.84136673939986,1107.9808756498708,0.4057328653931904
22,0,24.46133090555668,0.5384923722594976,3.8931102212518454,3126.669497742006,66494.5,350.8674182300671,1196.441596393014,340.3918267938014,1238.889507067497,0.0791492576268702
23,0,25.175087151117623,1.0562297403812408,3.8931102212518454,1756.466362067758,63516.72,101.76154668558935,731.0697725637774,109.27937368973788,814.3556691286533,0.0
24,0,25.22871179319918,1.043709160760045,2.9731361577287316,1824.4240786123182,64369.5,116.97013330213807,741.5118421709915,123.5408184076465,842.4012847315422,0.0
25,0,25.22871179319918,1.043709160760045,2.9731361577287316,1824.4240786123182,64369.5,116.97013330213807,741.5118421709915,123.5408184076465,842.4012847315422,0.0
26,0,25.95618417672813,1.043709160760045,2.9731361577287316,1247.4583527420307,64069.5,38.07630701624642,518.0148481971122,44.17982321006292,647.187374318609,0.0
27,0,25.22871179319918,2.030345097184181,2.9731361577287316,1462.2403813079397,62416.72,68.42806924527778,599.10817875391,85.31885214637134,709.3852811623806,0.0
28,0,25.22871179319918,1.043709160760045,1.1901462590321898,2362.875479363855,68888.94,229.75639368665367,875.492095068843,238.39737486343728,1018.5900636593002,0.6395520856208261
29,0,25.95618417672813,2.030345097184181,1.1901462590321898,1306.7530410440831,66300.05,63.14887320657667,488.6438039076248,78.08086025690228,676.8795036729796,0.0
30,2,23.921012483537197,2.4851098526269197,2.0672040479257703,4224.63279907244,64386.16,334.6785977755276,1289.2718270555442,1349.9928332551158,1199.7901216544467,50.899419331806236
31,2,23.921012483537197,2.4851098526269197,2.0672040479257703,4224.63279907244,64386.16,334.6785977755276,1289.2718270555442,1349.9928332551158,1199.7901216544467,50.899419331806236
32,2,24.061823550611734,2.4851098526269197,2.0672040479257703,3936.6665491686394,64294.5,293.12109273290963,1225.8915247134432,1253.3322026470803,1130.7983842442204,33.52334483098604
33,2,23.921012483537197,1.4218241982161999,2.0672040479257703,4653.736593192912,65961.16,384.21827758966145,1413.864304166917,1461.3742078983068,1330.4725285775928,63.80727496043351
34,2,23.921012483537197,2.4851098526269197,3.484010518528521,3850.982414604923,62430.61,253.88219672918234,1177.721924891025,1289.367367117877,1115.182454396664,14.828471470175103
35,2,24.061823550611734,1.4218241982161999,3.484010518528521,3986.0755668572237,63802.83,262.5576968525725,1240.8419642493325,1296.0294176418058,1176.4954328876752,10.151055225837702
36,2,25.652785271406174,0.9102883506566286,3.371229832060635,2142.6336811192728,64638.94,42.928027457100406,793.2409012591764,642.4166924144793,664.0480599885167,0.0
37,2,25.652785271406174,0.9102883506566286,3.371229832060635,2142.6336811192728,64638.94,42.928027457100406,793.2409012591764,642.4166924144793,664.0480599885167,0.0
38,2,23.609483333304524,0.9102883506566286,3.371229832060635,5441.253798321546,65755.61,463.5187198760217,1590.733409503717,1754.9704315484905,1546.0199605036146,86.01127688970274
39,2,25.652785271406174,1.5033470075577497,3.371229832060635,1807.687999463591,62944.49,26.567552660497682,687.1819752959581,540.2466486564804,553.6918228506548,0.0
40,2,25.652785271406174,0.9102883506566286,3.244401869364083,2157.4792234576475,64772.27,44.5331927626001,798.4421754627145,647.0358684047724,667.4679868275604,0.0
41,2,23.609483333304524,1.5033470075577497,3.244401869364083,4978.437250743735,64138.94,408.1984228273451,1453.6368583755373,1638.3233656890861,1404.601307198964,73.67729665280231
42,1,23.221550839021802,1.6173099596053362,1.6690192678943276,6029.632735923795,67519.5,1037.7678991545652,2115.93759067564,1701.4997449152156,896.6018458657999,277.8256553125739
43,1,23.221550839021802,1.6173099596053362,1.6690192678943276,6029.632735923795,67519.5,1037.7678991545652,2115.93759067564,1701.4997449152156,896.6018458657999,277.8256553125739
